edad;peso;talla;sexo;provincia
35;79.7;169;HOMBRE;CASTELLÓN
45;81.6;170;HOMBRE;CASTELLÓN
38;84.9;173.2;HOMBRE;CASTELLÓN
45;79.6;165;HOMBRE;CASTELLÓN
46;103.6;180.5;HOMBRE;CASTELLÓN
45;124;179;HOMBRE;CASTELLÓN
47;88.4;153;MUJER;CASTELLÓN
43;55.6;155.3;MUJER;CASTELLÓN
39;49.2;156.5;MUJER;CASTELLÓN
37;52.5;150.3;MUJER;CASTELLÓN
37;60.1;158.5;MUJER;CASTELLÓN
35;56.2;159;MUJER;CASTELLÓN
45;51.6;152;MUJER;CASTELLÓN
44;58.3;160.2;MUJER;CASTELLÓN
42;60.6;164.5;MUJER;CASTELLÓN
48;59.7;158;MUJER;CASTELLÓN
40;60.4;155.5;MUJER;CASTELLÓN
40;65.4;161.5;MUJER;CASTELLÓN
42;63;160;MUJER;CASTELLÓN
44;60.5;155;MUJER;CASTELLÓN
38;67.4;164;MUJER;CASTELLÓN
42;65.9;162;MUJER;CASTELLÓN
39;68.1;163.2;MUJER;CASTELLÓN
44;76.6;166;MUJER;CASTELLÓN
46;66.8;155.3;MUJER;CASTELLÓN
41;65.6;158.5;MUJER;CASTELLÓN
38;69.8;155;MUJER;CASTELLÓN
49;70.9;155.5;MUJER;CASTELLÓN
44;63.8;150;MUJER;CASTELLÓN
38;80;156;MUJER;CASTELLÓN
58;76.7;165.5;HOMBRE;CASTELLÓN
63;79;167;HOMBRE;CASTELLÓN
58;63;160;HOMBRE;CASTELLÓN
53;74.6;167;HOMBRE;CASTELLÓN
61;79.4;169.9;HOMBRE;CASTELLÓN
58;84.4;174;HOMBRE;CASTELLÓN
51;75;166.5;HOMBRE;CASTELLÓN
59;79.8;170;HOMBRE;CASTELLÓN
58;90;179;HOMBRE;CASTELLÓN
56;61.3;154.9;HOMBRE;CASTELLÓN
52;81.3;167;HOMBRE;CASTELLÓN
51;88.7;173;HOMBRE;CASTELLÓN
59;90.3;172;HOMBRE;CASTELLÓN
64;80.5;160.5;HOMBRE;CASTELLÓN
50;97.6;181.5;HOMBRE;CASTELLÓN
54;101.6;180.1;HOMBRE;CASTELLÓN
53;92.9;168;HOMBRE;CASTELLÓN
53;108.4;146.5;MUJER;CASTELLÓN
59;83.8;160;MUJER;CASTELLÓN
61;69.2;153.5;MUJER;CASTELLÓN
53;75;162;MUJER;CASTELLÓN
61;64.4;150;MUJER;CASTELLÓN
64;85.2;152;MUJER;CASTELLÓN
64;88.9;153;MUJER;CASTELLÓN
60;72;152.7;MUJER;CASTELLÓN
60;77.9;153;MUJER;CASTELLÓN
56;71.3;161;MUJER;CASTELLÓN
61;58.2;162.5;MUJER;CASTELLÓN
51;59.9;150;MUJER;CASTELLÓN
55;73.8;168;MUJER;CASTELLÓN
60;61.4;159.6;MUJER;CASTELLÓN
54;81.4;150;MUJER;CASTELLÓN
93;39;158.5;HOMBRE;CASTELLÓN
74;77;166;HOMBRE;CASTELLÓN
74;59.3;164.2;HOMBRE;CASTELLÓN
66;72.2;175;HOMBRE;CASTELLÓN
74;65.1;166.2;HOMBRE;CASTELLÓN
73;72.9;172.4;HOMBRE;CASTELLÓN
71;80;171.5;HOMBRE;CASTELLÓN
66;70.9;168.3;HOMBRE;CASTELLÓN
73;70.7;164.8;HOMBRE;CASTELLÓN
68;97.6;167.5;HOMBRE;CASTELLÓN
71;56.2;151;MUJER;CASTELLÓN
74;51.4;148;MUJER;CASTELLÓN
75;54.7;153.5;MUJER;CASTELLÓN
77;53.9;152;MUJER;CASTELLÓN
84;70.6;150;MUJER;CASTELLÓN
78;50.5;160;MUJER;CASTELLÓN
74;64;162.4;MUJER;CASTELLÓN
81;62;150;MUJER;CASTELLÓN
18;86.4;173.5;HOMBRE;ALICANTE
17;;;HOMBRE;ALICANTE
24;61.5;168;HOMBRE;ALICANTE
21;80.2;176;HOMBRE;ALICANTE
15;56;168.5;HOMBRE;ALICANTE
21;71.6;174;HOMBRE;ALICANTE
17;56;170;HOMBRE;ALICANTE
15;56.1;173;HOMBRE;ALICANTE
17;50.4;159.7;HOMBRE;ALICANTE
15;63.8;178.5;HOMBRE;ALICANTE
19;67.5;172.2;HOMBRE;ALICANTE
17;66;179.5;HOMBRE;ALICANTE
15;63.2;178.5;HOMBRE;ALICANTE
23;75.6;177;HOMBRE;ALICANTE
19;74;185;HOMBRE;ALICANTE
21;85.4;186;HOMBRE;ALICANTE
20;72;172;HOMBRE;ALICANTE
19;71.8;176.5;HOMBRE;ALICANTE
18;83.4;175;HOMBRE;ALICANTE
22;91.4;188.5;HOMBRE;ALICANTE
17;90.9;176.5;HOMBRE;ALICANTE
18;51.2;161.5;MUJER;ALICANTE
21;54;153;MUJER;ALICANTE
24;53.3;158.5;MUJER;ALICANTE
16;52.5;158;MUJER;ALICANTE
15;;;MUJER;ALICANTE
18;61;158;MUJER;ALICANTE
18;54;162.5;MUJER;ALICANTE
23;51.5;151;MUJER;ALICANTE
18;43.4;155;MUJER;ALICANTE
15;52;159;MUJER;ALICANTE
17;54.8;157;MUJER;ALICANTE
20;51.6;156;MUJER;ALICANTE
23;56.5;165;MUJER;ALICANTE
18;56.4;160;MUJER;ALICANTE
17;54.5;159.5;MUJER;ALICANTE
19;55;151.5;MUJER;ALICANTE
18;57.5;160;MUJER;ALICANTE
20;61.7;152.5;MUJER;ALICANTE
16;86;163;MUJER;ALICANTE
27;73.3;189;HOMBRE;ALICANTE
28;96.8;181;HOMBRE;CASTELLÓN
25;60.8;161.6;MUJER;ALICANTE
27;65.6;154;MUJER;ALICANTE
27;45.9;162.5;MUJER;ALICANTE
28;51;154.5;MUJER;ALICANTE
29;88.6;160;MUJER;ALICANTE
34;53.2;154;MUJER;ALICANTE
30;57.6;160;MUJER;ALICANTE
27;57.3;161;MUJER;ALICANTE
31;65;159;MUJER;ALICANTE
31;59.5;156.5;MUJER;ALICANTE
48;77;168.5;HOMBRE;ALICANTE
41;75.8;167;HOMBRE;ALICANTE
46;69.1;171;HOMBRE;ALICANTE
49;57.7;162;HOMBRE;ALICANTE
43;79.6;170;HOMBRE;ALICANTE
45;71.1;161;HOMBRE;ALICANTE
44;89.5;174;HOMBRE;ALICANTE
36;89;179.5;HOMBRE;ALICANTE
49;89.7;170.5;HOMBRE;ALICANTE
39;102.7;172;HOMBRE;ALICANTE
47;70.2;153;MUJER;ALICANTE
48;57.4;158;MUJER;ALICANTE
47;66.2;147;MUJER;ALICANTE
46;91.2;162;MUJER;ALICANTE
49;66.2;151.5;MUJER;ALICANTE
